field,sample,gaussian_center25_mse,gaussian_center25_corr,void_auc,overdense_auc,peak_auc,void_test_rate,overdense_test_rate,peak_test_rate
cosmos,real,0.9584582436963628,0.21446208174664136,0.8818713450292397,0.7286549707602339,0.5228070175438597,0.296875,0.296875,0.296875
cosmos,spatial_permutation_null,1.0596306731899272,-0.011447238604923242,0.507482993197279,0.3687821612349914,0.43142857142857144,0.234375,0.171875,0.21875
xmm_lss,real,1.2556891176073357,0.18284451273987554,0.7242841993637328,0.718397997496871,0.6363636363636362,0.359375,0.265625,0.3125
xmm_lss,spatial_permutation_null,1.3940611929550188,0.08267704614786729,0.5125125125125125,0.3638392857142857,0.46329365079365076,0.421875,0.125,0.4375
cdfs,real,1.1528855109957636,0.09837293060701431,0.7058823529411765,0.7328571428571429,0.6502923976608187,0.203125,0.21875,0.296875
cdfs,spatial_permutation_null,1.2186614318928213,0.022925688365187533,0.4806201550387597,0.5128644939965694,0.5324283559577677,0.328125,0.171875,0.203125
elais_s1,real,0.7793332128117112,0.13890198241315102,0.862155388471178,0.6395494367959951,0.7666666666666667,0.109375,0.265625,0.0625
elais_s1,spatial_permutation_null,0.7417334675182535,0.0014209431275486557,0.6350574712643677,0.5230769230769232,0.4051724137931034,0.09375,0.390625,0.09375
south_045m30,real,0.7884113868485454,0.06567401462446901,0.6338797814207651,0.5723076923076923,0.5258620689655172,0.046875,0.390625,0.09375
south_045m30,spatial_permutation_null,0.757202821166298,0.07799195378828605,0.5081967213114753,0.4241781548250265,0.6340852130325815,0.046875,0.359375,0.109375
south_075m45,real,1.2008434884725943,0.0746838261603822,0.6037735849056604,0.6571428571428571,0.647953216374269,0.171875,0.453125,0.296875
south_075m45,spatial_permutation_null,1.1105187147137754,-0.032377697565169075,0.40804597701149425,0.4811507936507936,0.35748792270531404,0.09375,0.5625,0.28125
south_105m35,real,1.0635913498704408,0.1242259702136741,0.670748299319728,0.7834793491864831,0.6624999999999999,0.234375,0.265625,0.375
south_105m35,spatial_permutation_null,1.267850254371497,0.00033614026401698635,0.5746140651801029,0.518974358974359,0.415625,0.171875,0.390625,0.375
south_135m25,real,1.0536211254681405,0.04963288489592607,0.6952380952380952,0.6394557823129252,0.5540308747855918,0.234375,0.234375,0.171875
south_135m25,spatial_permutation_null,0.9674378707193779,-0.009707603851005664,0.4928571428571429,0.35026041666666663,0.5515151515151515,0.21875,0.25,0.140625
south_210m35,real,1.2768117569431148,0.061423686892830565,0.7210144927536232,0.7555555555555555,0.6650641025641025,0.28125,0.15625,0.1875
south_210m35,spatial_permutation_null,1.3193957990516862,-0.008431875045933703,0.4106280193236715,0.6190476190476191,0.4178154825026511,0.28125,0.234375,0.359375
des_315m45,real,0.9303079121232578,0.11982997431838494,0.6605128205128206,0.6892230576441103,0.4161616161616162,0.390625,0.109375,0.140625
des_315m45,spatial_permutation_null,0.9523912201031577,0.06178542053219943,0.5904203323558161,0.5016949152542373,0.5689655172413792,0.484375,0.078125,0.09375
south_330m45,real,0.778052820436507,0.12223530158842717,0.6536458333333334,0.7243589743589743,0.5457627118644068,0.25,0.1875,0.078125
south_330m45,spatial_permutation_null,0.8436884576119953,0.0028351736320376274,0.3719298245614035,0.3979416809605489,0.8032786885245903,0.296875,0.171875,0.046875
south_345m30,real,1.0516164836695376,0.22454078069020394,0.7655172413793103,0.9155354449472097,0.6473214285714286,0.453125,0.203125,0.125
south_345m30,spatial_permutation_null,1.1646113930692477,0.043933653905311315,0.464475079533404,0.5576923076923076,0.5197255574614066,0.359375,0.1875,0.171875
